date,open,high,low,close,volume,adj_close
2026-04-15,672.25,672.25,672.25,672.25,0,672.25
2026-04-16,672.25,672.25,672.25,672.25,0,672.25
2026-04-17,672.25,672.25,672.25,672.25,0,672.25
2026-04-20,991.0,1005.85,991.0,995.45,4123,995.45
2026-04-21,999.8,1019.95,971.2,988.9,10699,988.9
2026-04-22,999.95,999.95,976.1,989.85,8133,989.85
2026-04-23,980.65,997.35,975.55,985.45,3005,985.45
2026-04-24,986.05,1004.0,950.0,962.0,11164,962.0
2026-04-27,962.0,984.95,950.5,977.7,12624,977.7
2026-04-28,987.5,1059.9,982.25,1050.85,44741,1050.85
2026-04-29,1052.0,1056.5,1025.2,1033.05,6959,1033.05
2026-04-30,1048.55,1051.95,1009.6,1030.5,5995,1030.5
2026-05-04,1030.0,1043.2,1013.0,1026.3,18357,1026.3
2026-05-05,1029.8,1049.0,1018.0,1036.6,9226,1036.6
2026-05-06,1051.4,1054.2,1036.6,1050.7,8994,1050.7
2026-05-07,1059.8,1075.0,1046.3,1066.3,9872,1066.3
2026-05-08,1066.3,1125.0,1060.2,1112.5,26837,1112.5
2026-05-11,1120.0,1240.0,1095.0,1182.5,138443,1182.5
2026-05-12,1202.0,1275.0,1150.0,1263.0,258169,1263.0
2026-05-13,1250.0,1263.7,1188.1,1241.7,66223,1241.7
2026-05-14,1231.0,1260.0,1182.1,1194.3,26328,1194.3
2026-05-15,1211.0,1230.9,1200.0,1209.4,10377,1209.4
2026-05-18,1190.0,1224.0,1165.1,1181.3,17563,1181.3
2026-05-19,1187.2,1220.2,1166.3,1209.8,17228,1209.8
2026-05-20,1218.0,1348.0,1209.0,1323.0,82521,1323.0
2026-05-21,1335.0,1356.9,1287.0,1346.6,44102,1346.6
2026-05-22,1346.6,1407.0,1327.0,1365.3,55933,1365.3
2026-05-25,1335.0,1425.0,1322.0,1360.2,30333,1360.2
2026-05-26,1357.6,1455.0,1342.9,1415.7,61211,1415.7
2026-05-27,1427.1,1498.0,1412.2,1487.7,54278,1487.7
2026-05-28,1487.7,1487.7,1487.7,1487.7,0,1487.7
2026-05-29,1482.0,1575.0,1472.1,1556.6,52927,1556.6
2026-06-01,1575.0,1589.2,1496.0,1509.1,23115,1509.1
2026-06-02,1511.9,1528.9,1452.1,1465.5,14088,1465.5
2026-06-03,1449.9,1449.9,1301.3,1323.1,53812,1323.1
2026-06-04,1313.5,1379.0,1272.1,1353.0,33136,1353.0
2026-06-05,1355.0,1418.6,1355.0,1391.1,23106,1391.1
2026-06-08,1384.1,1428.0,1337.0,1351.3,17737,1351.3
